Carné;Nombre y Apellidos;Correo;Teléfono;Nickname;Tipo Estudiante;Promedio (Exámenes);Promedio (Quices);Promedio (tareas);Nota Proyecto 1;Nota Proyecto 2;Nota Proyecto 3;Nota Promedio Proyecto;Nota Promedio (quices, tareas y examenes);Nota Final
292938030;Joseph Carmona;pino11@hotmail.com;84733184;Pino;A;90;100;95;90;70;90;;96;88
248312428;Daniel Fernandez;daniel1321@hotmail.com;87676565;Daniel;A;80;90;85;55;80;80;;81;80
229384782;Sofia Persona;sofial1651@hotmail.com;87655643;Sofia;A;70;90;95;70;60;90;;88;89
249827388;Randy Zeledon;randy6511@hotmail.com;86423426;Randy;A;90;90;90;40;90;80;;90;92
290482348;Sofia Puntarenas;sofiap1761@hotmail.com;63865543;Sofia 2;A;75;100;95;60;70;80;;91;90
229384728;Daniel Perez;danielp1441@hotmail.com;74322324;Daniel 2;B;80;90;75;80;85;90;87;;85
284082143;Randy Vega;randy4902@hotmail.com;65442232;Randy 2;B;90;90;100;90;75;90;91;;86
239833830;Cristopher Random;dcris32@hotmail.com;64343422;Cris;B;100;90;95;85;80;90;84;;81
290428923;Rodolfo Hola;rodolfo32@hotmail.com;73432723;Rodolfo;B;90;90;95;20;90;100;93;;95
238438408;Camilo Hernandez;camilo8490@hotmail.com;89438338;Camilo;B;90;90;80;50;70;75;79;;77
